Index,Province,length2006,length2007,length2008,length2009,length2010,length2011,length2012,length2013,length2014,length2015,length2016,length2017,length2018
0,Anhui,0,0,0,0,0,0,0,0,0,0,25,52,53
1,Beijing,114,142,200,228,336,372,442,465,527,554,574,608,637
2,Fujian,0,0,0,0,0,0,0,0,0,0,9,55,54
3,Gansu,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Guangdong,112,138,135,172,300,413,413,437,437,451,632,742,830
5,Guangxi,0,0,0,0,0,0,0,0,0,0,32,32,53
6,Guizhou,0,0,0,0,0,0,0,0,0,0,0,0,34
7,Hainan,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Hebei,0,0,0,0,0,0,0,0,0,0,0,28,28
9,Henan,0,0,0,0,0,0,0,26,26,26,46,94,94
10,Heilongjiang,0,0,0,0,0,0,0,17,17,17,17,22,22
11,Hubei,10,10,10,10,29,29,56,72,95,125,180,234,300
12,Hunan,0,0,0,0,0,0,0,0,22,27,69,69,69
13,Jilin,31,39,32,39,39,39,55,55,55,64,64,83,118
14,Jiangsu,22,22,22,22,85,85,110,134,313,377,393,578,634
15,Jiangxi,0,0,0,0,0,0,0,0,0,29,29,49,49
16,Liaoning,73,73,87,87,115,115,137,141,141,221,221,235,240
17,Nei Mongol,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Ningxia Hui,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Qinghai,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Shandong,0,0,0,0,0,0,0,0,0,11,33,54,178
21,Shanxi,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Shaanxi,0,0,0,0,0,20,20,45,51,51,89,89,123
23,Shanghai,170,251,253,343,453,454,468,567,578,618,618,666,705
24,Sichuan,0,0,0,0,19,19,40,48,59,86,106,175,240
25,Tianjin,72,71,79,79,80,84,139,143,147,147,175,175,227
26,Xizang,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Xinjiang Uygur,0,0,0,0,0,0,0,0,0,0,0,0,17
28,Yunnan,0,0,0,0,0,0,0,40,59,59,46,86,89
29,Zhejiang,0,0,0,0,0,0,48,48,87,131,156,180,189
30,Chongqing,17,17,17,19,17,70,131,170,202,202,213,264,313
